iter	Passed	Remaining
0	1	119
1	2	106
2	3	100
3	3	92
4	5	95
5	5	93
6	6	92
7	7	91
8	8	90
9	9	89
10	10	88
11	11	86
12	12	85
13	13	85
14	14	84
15	15	83
16	16	82
17	18	82
18	19	81
19	20	80
20	20	78
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	50	48
51	51	47
52	52	46
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	70	28
71	71	27
72	73	27
73	74	26
74	75	25
75	76	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
